,name,link,features,price,rating,avgrating,website
0,Nokia 110,http://www.flipkart.com/nokia-110/p/itmc12fb093bfcfd?pid=MOBFHB83BCAVHGDN&lid=LSTMOBFHB83BCAVHGDNR7KCAF&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFHB83BCAVHGDN.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 MB RAM | 4 MB ROM | Expandable Upto 32 MB,4.5 cm (1.77 inch) QVGA Display,1MP Rear Camera,800 mAh Battery,Brand Warranty of 1 Year Available for Mobile",1949,"1,522 Ratings & 111 Reviews",4,flipkart
1,Nokia 105,http://www.flipkart.com/nokia-105/p/itm383c65b7b1345?pid=MOBFJGSJGCYNSVSE&lid=LSTMOBFJGSJGCYNSVSEIYCM2N&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFJGSJGCYNSVSE.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh3 Li-ion Battery,Brand Warranty of 1 Year Available for Mobile from Date of Purchase",1389,"19,865 Ratings & 1,852 Reviews",4.2,flipkart
2,"Nokia 2.3 (Charcoal, 32 GB)",http://www.flipkart.com/nokia-2-3-charcoal-32-gb/p/itm4d244a910506a?pid=MOBFQXEWZSKBJZRD&lid=LSTMOBFQXEWZSKBJZRDLH49NE&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFQXEWZSKBJZRD.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek Helio A22 Processor,1 Year Warranty on Phone",9090,212 Ratings & 23 Reviews,4,flipkart
3,Nokia 150/150 DS,http://www.flipkart.com/nokia-150-150-ds/p/itmeryhnsvqggtzt?pid=MOBESASEC7VMQVGT&lid=LSTMOBESASEC7VMQVGT043TYT&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBESASEC7VMQVGT.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) VGA Display,0.3MP Rear Camera,1020 mAh Battery,NA Processor,1 Year",2095,"31,098 Ratings & 3,075 Reviews",4.2,flipkart
4,Nokia 105 SS,http://www.flipkart.com/nokia-105-ss/p/itm5319c7a0413cb?pid=MOBFH7HQMBAQMGBX&lid=LSTMOBFH7HQMBAQMGBXBKA4EO&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFH7HQMBAQMGBX.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,800 mAh Lithium Ion Battery,Brand Warranty of 1 Year Available for Mobile",1199,"68,270 Ratings & 6,553 Reviews",4.3,flipkart
5,Nokia 105 SS,http://www.flipkart.com/nokia-105-ss/p/itm5319c7a0413cb?pid=MOBFH7HQXUCWYXMJ&lid=LSTMOBFH7HQXUCWYXMJO5DAAO&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFH7HQXUCWYXMJ.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,800 mAh Lithium Ion Battery,Brand Warranty of 1 Year Available for Mobile",1149,"68,270 Ratings & 6,553 Reviews",4.3,flipkart
6,"Nokia 3.2 (Steel, 32 GB)",http://www.flipkart.com/nokia-3-2-steel-32-gb/p/itmfh5ftgzj3rqh2?pid=MOBFH5FT2GFQZKBB&lid=LSTMOBFH5FT2GFQZKBBT8L3DG&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFH5FT2GFQZKBB.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,15.9 cm (6.26 inch) Display,13MP Rear Camera | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 429 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery",11999,360 Ratings & 34 Reviews,4,flipkart
7,Nokia 105 SS,http://www.flipkart.com/nokia-105-ss/p/itme21e3ece092f2?pid=MOBFMBW8XKFKC8BA&lid=LSTMOBFMBW8XKFKC8BAHCWJ5I&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFMBW8XKFKC8BA.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,Brand Warranty of 1 Year Available for Mobile from Date of Purchase",1249,"68,270 Ratings & 6,553 Reviews",4.3,flipkart
8,"Nokia 4.2 (Black, 32 GB)",http://www.flipkart.com/nokia-4-2-black-32-gb/p/itmfgfegy5rrhqnk?pid=MOBFGBZQARMHYMKK&lid=LSTMOBFGBZQARMHYMKKK5NTMK&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFGBZQARMHYMKK.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,14.5 cm (5.71 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories Excluding Battery",12499,561 Ratings & 66 Reviews,4.1,flipkart
9,Nokia 105,http://www.flipkart.com/nokia-105/p/itm6b6b7a9020f37?pid=MOBFJGSJPJYH6APY&lid=LSTMOBFJGSJPJYH6APYKX9FNH&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=de29a234-3437-48b9-9bd5-bf9e07cbc90b.MOBFJGSJPJYH6APY.SEARCH&ssid=btdezhq8pc0000001592839972588&qH=49f17151a1bc1d85,"4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh3 Li-ion Battery,Brand Warranty of 1 Year Available for Mobile from Date of Purchase",1499,"19,865 Ratings & 1,852 Reviews",4.2,flipkart
