,name,link,features,price,rating,avgrating,website
0,"OnePlus 7T (Frosted Silver, 128 GB)",http://www.flipkart.com/oneplus-7t-frosted-silver-128-gb/p/itma74f3aece46b1?pid=MOBFKWSYFG45UYEB&lid=LSTMOBFKWSYFG45UYEBOVZHMA&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKWSYFG45UYEB.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,35774,"(6,100)",4.6,flipkart
1,"OnePlus 7T (Glacier Blue, 256 GB)",http://www.flipkart.com/oneplus-7t-glacier-blue-256-gb/p/itma74f3aece46b1?pid=MOBFKWSYTHTESNSG&lid=LSTMOBFKWSYTHTESNSGWXY9KD&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKWSYTHTESNSG.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,38990,"(6,100)",4.6,flipkart
2,"OnePlus 7T (Glacier Blue, 128 GB)",http://www.flipkart.com/oneplus-7t-glacier-blue-128-gb/p/itma74f3aece46b1?pid=MOBFKWSYWB5S37YV&lid=LSTMOBFKWSYWB5S37YVSE6WKT&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKWSYWB5S37YV.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,37489,"(6,100)",4.6,flipkart
3,"OnePlus 7T Pro (Haze Blue, 256 GB)",http://www.flipkart.com/oneplus-7t-pro-haze-blue-256-gb/p/itm0ce470755470d?pid=MOBFHC8GY8XRXJPF&lid=LSTMOBFHC8GY8XRXJPFOCG3GH&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFHC8GY8XRXJPF.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,47998,(337),4.6,flipkart
4,"OnePlus 7 (Red, 256 GB)",http://www.flipkart.com/oneplus-7-red-256-gb/p/itmdbcd3dd156000?pid=MOBFKFPEM6TVYNBZ&lid=LSTMOBFKFPEM6TVYNBZ3E2Z2W&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKFPEM6TVYNBZ.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,36449,"(2,009)",4.6,flipkart
5,"OnePlus 7 (Mirror Grey, 256 GB)",http://www.flipkart.com/oneplus-7-mirror-grey-256-gb/p/itmdbcd3dd156000?pid=MOBFKFPFJQEGJJJQ&lid=LSTMOBFKFPFJQEGJJJQOYEVUU&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKFPFJQEGJJJQ.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,36899,"(2,009)",4.6,flipkart
6,"OnePlus 7 Pro (Nebula Blue, 256 GB)",http://www.flipkart.com/oneplus-7-pro-nebula-blue-256-gb/p/itmbdc9c2e788399?pid=MOBFKFPECPTUFZQW&lid=LSTMOBFKFPECPTUFZQWHI3MD1&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKFPECPTUFZQW.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,45786,(789),4.6,flipkart
7,"OnePlus 7 Pro (Mirror Grey, 256 GB)",http://www.flipkart.com/oneplus-7-pro-mirror-grey-256-gb/p/itmbdc9c2e788399?pid=MOBFKFPEFYACFTRR&lid=LSTMOBFKFPEFYACFTRRCH3DD7&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKFPEFYACFTRR.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,45980,(789),4.6,flipkart
8,"OnePlus 6T (Speed Orange, 256 GB)",http://www.flipkart.com/oneplus-6t-speed-orange-256-gb/p/itm481488ed3d219?pid=MOBFKFPEXZUY9VBV&lid=LSTMOBFKFPEXZUY9VBVV6WN6D&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFKFPEXZUY9VBV.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,39999,(5),5,flipkart
9,"OnePlus 7 Pro (Mirror Grey, 128 GB)",http://www.flipkart.com/oneplus-7-pro-mirror-grey-128-gb/p/itmbdc9c2e788399?pid=MOBFJJW3NSR3KQS4&lid=LSTMOBFJJW3NSR3KQS4LZJUYX&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.MOBFJJW3NSR3KQS4.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,42999,(191),4.6,flipkart
10,Casewilla Back Cover for OnePlus 6,http://www.flipkart.com/casewilla-back-cover-oneplus-6/p/itmf5ns9g8hnskyc?pid=ACCF5NRQBGG94HEC&lid=LSTACCF5NRQBGG94HEC3KML49&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.ACCF5NRQBGG94HEC.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,179,(228),3.9,flipkart
11,KWINE CASE Back Cover for OnePlus 7T,http://www.flipkart.com/kwine-case-back-cover-oneplus-7t/p/itm42aeb2629e3b7?pid=ACCFM34ZT9XFMNUN&lid=LSTACCFM34ZT9XFMNUN0FJ7Y7&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.ACCFM34ZT9XFMNUN.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,245,(156),4.5,flipkart
12,Spigen Back Cover for OnePlus 7T,http://www.flipkart.com/spigen-back-cover-oneplus-7t/p/itm196e4766f2bf8?pid=ACCFNZHEQGBRKDS7&lid=LSTACCFNZHEQGBRKDS7N0DNBN&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=2b3ba9d2-3cbc-4c40-bba8-92ae1421980a.ACCFNZHEQGBRKDS7.SEARCH&ssid=vjudnpdvwg0000001592378619445&qH=0dbcd2a358fb2c5f,,1099,(89),4.4,flipkart
