,name,link,features,price,rating,avgrating,website
0,"Realme 6 Pro (Lightning Blue, 64 GB)",http://www.flipkart.com/realme-6-pro-lightning-blue-64-gb/p/itm19b1945c12aee?pid=MOBFPCX76F3BYQDH&lid=LSTMOBFPCX76F3BYQDHGAICT2&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFPCX76F3BYQDH.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor | Dual In Display Selfie,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",17999,"14,406 Ratings & 1,467 Reviews",4.5,flipkart
1,"Realme C3 (Blazing Red, 64 GB)",http://www.flipkart.com/realme-c3-blazing-red-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5SSTXZPCD&lid=LSTMOBFZHC5SSTXZPCDEPWG6L&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFZHC5SSTXZPCD.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9999,"72,382 Ratings & 5,576 Reviews",4.4,flipkart
2,"Realme C3 (Frozen Blue, 64 GB)",http://www.flipkart.com/realme-c3-frozen-blue-64-gb/p/itm58bf81a807d66?pid=MOBFZHC5QRBG2BSR&lid=LSTMOBFZHC5QRBG2BSRYU9DNF&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFZHC5QRBG2BSR.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9999,"72,382 Ratings & 5,576 Reviews",4.4,flipkart
3,"Realme C3 (Blazing Red, 32 GB)",http://www.flipkart.com/realme-c3-blazing-red-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5ZGPA8PHH&lid=LSTMOBFZHC5ZGPA8PHHCRJEZ3&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFZHC5ZGPA8PHH.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"51,072 Ratings & 4,224 Reviews",4.4,flipkart
4,"Realme C3 (Frozen Blue, 32 GB)",http://www.flipkart.com/realme-c3-frozen-blue-32-gb/p/itm58bf81a807d66?pid=MOBFZHC5HAGKGBBW&lid=LSTMOBFZHC5HAGKGBBWJH2HLH&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFZHC5HAGKGBBW.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"51,072 Ratings & 4,224 Reviews",4.4,flipkart
5,"Realme Narzo 10A (So Blue, 32 GB)",http://www.flipkart.com/realme-narzo-10a-so-blue-32-gb/p/itmbeb412dade152?pid=MOBFQ36AYV4ZG4E4&lid=LSTMOBFQ36AYV4ZG4E4LAVPVB&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFQ36AYV4ZG4E4.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"12,324 Ratings & 935 Reviews",4.6,flipkart
6,"Realme Narzo 10A (So White, 32 GB)",http://www.flipkart.com/realme-narzo-10a-so-white-32-gb/p/itmbeb412dade152?pid=MOBFQ36ASQHV3UGW&lid=LSTMOBFQ36ASQHV3UGWL3NPOI&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFQ36ASQHV3UGW.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8999,"12,324 Ratings & 935 Reviews",4.6,flipkart
7,"Realme 6 (Comet White, 64 GB)",http://www.flipkart.com/realme-6-comet-white-64-gb/p/itm60c8ea61964bf?pid=MOBFPCX7VUY74ZND&lid=LSTMOBFPCX7VUY74ZNDMGKMU7&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFPCX7VUY74ZND.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",13999,"44,861 Ratings & 4,750 Reviews",4.4,flipkart
8,"Realme C2 (Diamond Black, 32 GB)",http://www.flipkart.com/realme-c2-diamond-black-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4MDMCNHNK&lid=LSTMOBFHBZ4MDMCNHNKVPEYUE&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFHBZ4MDMCNHNK.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",6999,"7,65,424 Ratings & 64,611 Reviews",4.4,flipkart
9,"Realme C2 (Diamond Ruby, 32 GB)",http://www.flipkart.com/realme-c2-diamond-ruby-32-gb/p/itmfgwba8kmejqpe?pid=MOBFKK9JCA4W3E9S&lid=LSTMOBFKK9JCA4W3E9SMT95W2&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=73683026-f262-481f-9d19-d55b74e05bb9.MOBFKK9JCA4W3E9S.SEARCH&ssid=74euft44e80000001592839883485&qH=4ca07b48b28b9e70,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Nano SIM slots and Memory Card Slot,Face Unlock,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",7499,"1,30,030 Ratings & 9,775 Reviews",4.4,flipkart
