,name,link,features,price,rating,avgrating,website
0,"Realme 6 (Comet White, 128 GB)",http://www.flipkart.com/realme-6-comet-white-128-gb/p/itm12516d12e4a46?pid=MOBFPCX7U6C69DSU&lid=LSTMOBFPCX7U6C69DSUXD4ZOQ&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFPCX7U6C69DSU.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",16999,"13,083 Ratings & 1,329 Reviews",4.4,flipkart
1,"Realme 6 (Comet Blue, 128 GB)",http://www.flipkart.com/realme-6-comet-blue-128-gb/p/itm64975b00cb8e6?pid=MOBFPCX7UQU3CHKG&lid=LSTMOBFPCX7UQU3CHKG2J1SAU&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFPCX7UQU3CHKG.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",15999,"13,207 Ratings & 1,366 Reviews",4.4,flipkart
2,"Realme 6 (Comet White, 64 GB)",http://www.flipkart.com/realme-6-comet-white-64-gb/p/itm60c8ea61964bf?pid=MOBFPCX7VUY74ZND&lid=LSTMOBFPCX7VUY74ZNDMGKMU7&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFPCX7VUY74ZND.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",13999,"41,546 Ratings & 4,430 Reviews",4.4,flipkart
3,"Realme 6 (Comet Blue, 64 GB)",http://www.flipkart.com/realme-6-comet-blue-64-gb/p/itm212944b2e7fb0?pid=MOBFPCX7F9NBPRRT&lid=LSTMOBFPCX7F9NBPRRTSHD9FQ&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFPCX7F9NBPRRT.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",13999,"41,546 Ratings & 4,430 Reviews",4.4,flipkart
4,"Realme 6 (Comet Blue, 128 GB)",http://www.flipkart.com/realme-6-comet-blue-128-gb/p/itm50e6d62dcf5ee?pid=MOBFPCX72FYWY7NF&lid=LSTMOBFPCX72FYWY7NFMSGQ1L&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFPCX72FYWY7NF.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",16999,"13,083 Ratings & 1,329 Reviews",4.4,flipkart
5,"Realme 6 (Comet White, 128 GB)",http://www.flipkart.com/realme-6-comet-white-128-gb/p/itm20124d6ca5690?pid=MOBFPCX793UFBX3N&lid=LSTMOBFPCX793UFBX3NBHPRID&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFPCX793UFBX3N.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,90 Hz Ultra Smooth Display,30 W Flash Charge,Side Fingerprint Sensor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories",15999,"13,207 Ratings & 1,366 Reviews",4.4,flipkart
6,"Realme Narzo 10 (That Green, 128 GB)",http://www.flipkart.com/realme-narzo-10-that-green-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36AGTW8HNMW&lid=LSTMOBFQ36AGTW8HNMWFLXHAY&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFQ36AGTW8HNMW.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",11999,"18,153 Ratings & 1,602 Reviews",4.5,flipkart
7,"Realme Narzo 10 (That White, 128 GB)",http://www.flipkart.com/realme-narzo-10-that-white-128-gb/p/itmfaa990ac54b7a?pid=MOBFQ36APESHAPGA&lid=LSTMOBFQ36APESHAPGAHAKOMN&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFQ36APESHAPGA.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G80 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",11999,"18,153 Ratings & 1,602 Reviews",4.5,flipkart
8,"Realme 5i (Aqua Blue, 64 GB)",http://www.flipkart.com/realme-5i-aqua-blue-64-gb/p/itmdac0da867a9fa?pid=MOBFNG3GZXCV63BE&lid=LSTMOBFNG3GZXCV63BEMPJERT&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFNG3GZXCV63BE.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Sunrise Design,Reverse Charging,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",9999,"1,79,671 Ratings & 13,110 Reviews",4.4,flipkart
9,"Realme 5 Pro (Sparkling Blue, 128 GB)",http://www.flipkart.com/realme-5-pro-sparkling-blue-128-gb/p/itmfj9twdugyvg77?pid=MOBFJ9TWAEBGAYFR&lid=LSTMOBFJ9TWAEBGAYFRGDVJVR&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=fc49bce8-f400-4925-94f0-6b63e3d40280.MOBFJ9TWAEBGAYFR.SEARCH&ssid=sjri6zka4g0000001592378032890&qH=ba2b1763f76b622e,"8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,VOOC Flash Charge 3.0,Triple Card Slot,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",16999,"63,891 Ratings & 6,452 Reviews",4.5,flipkart
